Date,Open*,Single_day_Increase(%),Sixty_Days_Increase(%)
2013-4-28,135.3,0,0
2013-4-29,134.44,-0.6356,0
2013-4-30,144,7.111,0
2013-5-1,139,-3.4722,0
2013-5-2,116.38,-16.2734,0
2013-5-3,106.25,-8.7042,0
2013-5-4,98.1,-7.6706,0
2013-5-5,112.9,15.0866,0
2013-5-6,115.98,2.7281,0
2013-5-7,112.25,-3.2161,0
2013-5-8,109.6,-2.3608,0
2013-5-9,113.2,3.2847,0
2013-5-10,112.8,-0.3534,0
2013-5-11,117.7,4.344,0
2013-5-12,115.64,-1.7502,0
2013-5-13,114.82,-0.7091,0
2013-5-14,117.98,2.7521,0
2013-5-15,111.4,-5.5772,0
2013-5-16,114.22,2.5314,0
2013-5-17,118.21,3.4933,0
2013-5-18,123.5,4.4751,0
2013-5-19,123.21,-0.2348,0
2013-5-20,122.5,-0.5763,0
2013-5-21,122.02,-0.3918,0
2013-5-22,122.89,0.713,0
2013-5-23,123.8,0.7405,0
2013-5-24,126.3,2.0194,0
2013-5-25,133.1,5.384,0
2013-5-26,131.99,-0.834,0
2013-5-27,133.5,1.144,0
2013-5-28,129.77,-2.794,0
2013-5-29,129,-0.5934,0
2013-5-30,132.25,2.5194,0
2013-5-31,128.8,-2.6087,0
2013-6-1,128.82,0.0155,0
2013-6-2,129.3,0.3726,0
2013-6-3,122.5,-5.2591,0
2013-6-4,120.74,-1.4367,0
2013-6-5,121.4,0.5466,0
2013-6-6,121.9,0.4119,0
2013-6-7,118.97,-2.4036,0
2013-6-8,111,-6.6992,0
2013-6-9,107.89,-2.8018,0
2013-6-10,100.44,-6.9052,0
2013-6-11,106.35,5.8841,0
2013-6-12,109,2.4918,0
2013-6-13,108.78,-0.2018,0
2013-6-14,103.95,-4.4402,0
2013-6-15,100,-3.7999,0
2013-6-16,99.8,-0.2,0
2013-6-17,99.9,0.1002,0
2013-6-18,101.95,2.0521,0
2013-6-19,107.05,5.0025,0
2013-6-20,108.25,1.121,0
2013-6-21,111.29,2.8083,0
2013-6-22,109.5,-1.6084,0
2013-6-23,108.2,-1.1872,0
2013-6-24,107.9,-0.2773,0
2013-6-25,102.09,-5.3846,0
2013-6-26,103.33,1.2146,-21.013
2013-6-27,104,0.6484,-20.3646
2013-6-28,101.74,-2.1731,-21.9021
2013-6-29,94.66,-6.9589,-35.972
2013-6-30,95,0.3592,-32.1406
2013-7-1,97.51,2.6421,-13.2251
2013-7-2,88.05,-9.7016,-14.2225
